scenario,sensor,impact
CI1074X,CI3459X,90000.0
CI1074X,CI3462X,90000.0
CI1074X,CI3464X,90000.0
CI1074X,CI3465X,90000.0
CI1074X,CI3498X,90000.0
CI1074X,CI3499X,90000.0
CI1074X,CI3509X,90000.0
CI1074X,CI3512X,90000.0
CI1074X,CI3526X,90000.0
CI1074X,CI3540X,90000.0
CI1074X,CI3557X,90000.0
CI1074X,CI3560X,90000.0
CI1074X,CI3569X,90000.0
CI1074X,CI3581X,90000.0
CI1074X,CI501X,90000.0
CI1074X,CI69X,90000.0
CI1074X,CI765X,90000.0
CI1074X,FT150X,90000.0
CI1074X,PJ3531X,90000.0
CI1074X,PJ564X,90000.0
CI1076X,1,7200.0
CI1076X,CI1004X,90000.0
CI1076X,CI100X,3600.0
CI1076X,CI1074X,90000.0
CI1076X,CI1226X,90000.0
CI1076X,CI1277X,90000.0
CI1076X,CI1305X,90000.0
CI1076X,CI1360X,90000.0
CI1076X,CI1385X,90000.0
CI1076X,CI1479X,90000.0
CI1076X,CI1508X,90000.0
CI1076X,CI150X,90000.0
CI1076X,CI15X,90000.0
CI1076X,CI1638X,90000.0
CI1076X,CI170X,90000.0
CI1076X,CI1786X,90000.0
CI1076X,CI193X,90000.0
CI1076X,CI1X,14400.0
CI1076X,CI2,90000.0
CI1076X,CI2056X,90000.0
CI1076X,CI206X,90000.0
CI1076X,CI2124X,90000.0
CI1076X,CI2150X,90000.0
CI1076X,CI226X,90000.0
CI1076X,CI2274X,90000.0
CI1076X,CI227X,90000.0
CI1076X,CI2313X,90000.0
CI1076X,CI248X,90000.0
CI1076X,CI266X,90000.0
CI1076X,CI2879X,90000.0
CI1076X,CI2920X,90000.0
CI1076X,CI2994X,90000.0
CI1076X,CI3067X,90000.0
CI1076X,CI3105X,90000.0
CI1076X,CI3126X,90000.0
CI1076X,CI3171X,90000.0
CI1076X,CI3238X,90000.0
CI1076X,CI3330X,90000.0
CI1076X,CI333X,14400.0
CI1076X,CI3367X,90000.0
CI1076X,CI3386X,90000.0
CI1076X,CI3406X,90000.0
CI1076X,CI3449X,25200.0
CI1076X,CI3459X,90000.0
CI1076X,CI3462X,90000.0
CI1076X,CI3464X,90000.0
CI1076X,CI3465X,90000.0
CI1076X,CI3498X,90000.0
CI1076X,CI3499X,90000.0
CI1076X,CI3509X,90000.0
CI1076X,CI3512X,90000.0
CI1076X,CI3526X,90000.0
CI1076X,CI3540X,90000.0
CI1076X,CI3557X,90000.0
CI1076X,CI3560X,90000.0
CI1076X,CI3569X,90000.0
CI1076X,CI3581X,90000.0
CI1076X,CI501X,90000.0
CI1076X,CI69X,90000.0
CI1076X,CI765X,90000.0
CI1076X,FT150X,90000.0
CI1076X,PJ3531X,90000.0
CI1076X,PJ564X,90000.0
CI1089X,1,10800.0
CI1089X,CI1004X,90000.0
CI1089X,CI100X,7200.0
CI1089X,CI1074X,90000.0
CI1089X,CI1226X,90000.0
CI1089X,CI1277X,90000.0
CI1089X,CI1305X,90000.0
CI1089X,CI1360X,90000.0
CI1089X,CI1385X,90000.0
CI1089X,CI1479X,90000.0
CI1089X,CI1508X,90000.0
CI1089X,CI150X,90000.0
CI1089X,CI15X,90000.0
CI1089X,CI1638X,90000.0
CI1089X,CI170X,90000.0
CI1089X,CI1786X,90000.0
CI1089X,CI193X,90000.0
CI1089X,CI1X,7200.0
CI1089X,CI2,90000.0
CI1089X,CI2056X,90000.0
CI1089X,CI206X,90000.0
CI1089X,CI2124X,90000.0
CI1089X,CI2150X,90000.0
CI1089X,CI226X,90000.0
CI1089X,CI2274X,90000.0
CI1089X,CI227X,90000.0
CI1089X,CI2313X,90000.0
CI1089X,CI248X,90000.0
CI1089X,CI266X,90000.0
CI1089X,CI2879X,90000.0
CI1089X,CI2920X,90000.0
CI1089X,CI2994X,90000.0
CI1089X,CI3067X,90000.0
CI1089X,CI3105X,90000.0
CI1089X,CI3126X,90000.0
CI1089X,CI3171X,90000.0
CI1089X,CI3238X,90000.0
CI1089X,CI3330X,90000.0
CI1089X,CI333X,10800.0
CI1089X,CI3367X,90000.0
CI1089X,CI3386X,90000.0
CI1089X,CI3406X,90000.0
CI1089X,CI3449X,25200.0
CI1089X,CI3459X,90000.0
CI1089X,CI3462X,90000.0
CI1089X,CI3464X,90000.0
CI1089X,CI3465X,90000.0
CI1089X,CI3498X,90000.0
CI1089X,CI3499X,90000.0
CI1089X,CI3509X,90000.0
CI1089X,CI3512X,90000.0
CI1089X,CI3526X,90000.0
CI1089X,CI3540X,90000.0
CI1089X,CI3557X,90000.0
CI1089X,CI3560X,90000.0
CI1089X,CI3569X,90000.0
CI1089X,CI3581X,90000.0
CI1089X,CI501X,90000.0
CI1089X,CI69X,90000.0
CI1089X,CI765X,90000.0
CI1089X,FT150X,90000.0
CI1089X,PJ3531X,90000.0
CI1089X,PJ564X,90000.0
CI1090X,1,10800.0
CI1090X,CI1004X,90000.0
CI1090X,CI100X,7200.0
CI1090X,CI1074X,90000.0
CI1090X,CI1226X,90000.0
CI1090X,CI1277X,90000.0
CI1090X,CI1305X,90000.0
CI1090X,CI1360X,90000.0
CI1090X,CI1385X,90000.0
CI1090X,CI1479X,90000.0
CI1090X,CI1508X,90000.0
CI1090X,CI150X,90000.0
CI1090X,CI15X,90000.0
CI1090X,CI1638X,90000.0
CI1090X,CI170X,90000.0
CI1090X,CI1786X,90000.0
CI1090X,CI193X,90000.0
CI1090X,CI1X,10800.0
CI1090X,CI2,90000.0
CI1090X,CI2056X,90000.0
CI1090X,CI206X,90000.0
CI1090X,CI2124X,90000.0
CI1090X,CI2150X,90000.0
CI1090X,CI226X,90000.0
CI1090X,CI2274X,90000.0
CI1090X,CI227X,90000.0
CI1090X,CI2313X,90000.0
CI1090X,CI248X,90000.0
CI1090X,CI266X,90000.0
CI1090X,CI2879X,90000.0
CI1090X,CI2920X,90000.0
CI1090X,CI2994X,90000.0
CI1090X,CI3067X,90000.0
CI1090X,CI3105X,90000.0
CI1090X,CI3126X,90000.0
CI1090X,CI3171X,90000.0
CI1090X,CI3238X,90000.0
CI1090X,CI3330X,90000.0
CI1090X,CI333X,10800.0
CI1090X,CI3367X,90000.0
CI1090X,CI3386X,90000.0
CI1090X,CI3406X,90000.0
CI1090X,CI3449X,28800.0
CI1090X,CI3459X,90000.0
CI1090X,CI3462X,90000.0
CI1090X,CI3464X,90000.0
CI1090X,CI3465X,90000.0
CI1090X,CI3498X,90000.0
CI1090X,CI3499X,90000.0
CI1090X,CI3509X,90000.0
CI1090X,CI3512X,90000.0
CI1090X,CI3526X,90000.0
CI1090X,CI3540X,90000.0
CI1090X,CI3557X,90000.0
CI1090X,CI3560X,90000.0
CI1090X,CI3569X,90000.0
CI1090X,CI3581X,90000.0
CI1090X,CI501X,90000.0
CI1090X,CI69X,90000.0
CI1090X,CI765X,90000.0
CI1090X,FT150X,90000.0
CI1090X,PJ3531X,90000.0
CI1090X,PJ564X,90000.0
CI1111X,1,7200.0
CI1111X,CI1004X,90000.0
CI1111X,CI100X,3600.0
CI1111X,CI1074X,90000.0
CI1111X,CI1226X,90000.0
CI1111X,CI1277X,90000.0
CI1111X,CI1305X,90000.0
CI1111X,CI1360X,90000.0
CI1111X,CI1385X,90000.0
CI1111X,CI1479X,90000.0
CI1111X,CI1508X,90000.0
CI1111X,CI150X,90000.0
CI1111X,CI15X,90000.0
CI1111X,CI1638X,90000.0
CI1111X,CI170X,90000.0
CI1111X,CI1786X,90000.0
CI1111X,CI193X,90000.0
CI1111X,CI1X,7200.0
CI1111X,CI2,90000.0
CI1111X,CI2056X,90000.0
CI1111X,CI206X,90000.0
CI1111X,CI2124X,90000.0
CI1111X,CI2150X,90000.0
CI1111X,CI226X,90000.0
CI1111X,CI2274X,90000.0
CI1111X,CI227X,90000.0
CI1111X,CI2313X,90000.0
CI1111X,CI248X,90000.0
CI1111X,CI266X,90000.0
CI1111X,CI2879X,90000.0
CI1111X,CI2920X,90000.0
CI1111X,CI2994X,90000.0
CI1111X,CI3067X,90000.0
CI1111X,CI3105X,90000.0
CI1111X,CI3126X,90000.0
CI1111X,CI3171X,90000.0
CI1111X,CI3238X,90000.0
CI1111X,CI3330X,90000.0
CI1111X,CI333X,7200.0
CI1111X,CI3367X,90000.0
CI1111X,CI3386X,90000.0
CI1111X,CI3406X,90000.0
CI1111X,CI3449X,25200.0
CI1111X,CI3459X,90000.0
CI1111X,CI3462X,90000.0
CI1111X,CI3464X,90000.0
CI1111X,CI3465X,90000.0
CI1111X,CI3498X,90000.0
CI1111X,CI3499X,90000.0
CI1111X,CI3509X,90000.0
CI1111X,CI3512X,90000.0
CI1111X,CI3526X,90000.0
CI1111X,CI3540X,90000.0
CI1111X,CI3557X,90000.0
CI1111X,CI3560X,90000.0
CI1111X,CI3569X,90000.0
CI1111X,CI3581X,90000.0
CI1111X,CI501X,90000.0
CI1111X,CI69X,90000.0
CI1111X,CI765X,90000.0
CI1111X,FT150X,90000.0
CI1111X,PJ3531X,90000.0
CI1111X,PJ564X,90000.0
CI1121X,1,7200.0
CI1121X,CI1004X,90000.0
CI1121X,CI100X,3600.0
CI1121X,CI1074X,90000.0
CI1121X,CI1226X,90000.0
CI1121X,CI1277X,90000.0
CI1121X,CI1305X,90000.0
CI1121X,CI1360X,90000.0
CI1121X,CI1385X,90000.0
CI1121X,CI1479X,90000.0
CI1121X,CI1508X,90000.0
CI1121X,CI150X,90000.0
CI1121X,CI15X,90000.0
CI1121X,CI1638X,90000.0
CI1121X,CI170X,90000.0
CI1121X,CI1786X,90000.0
CI1121X,CI193X,90000.0
CI1121X,CI1X,3600.0
CI1121X,CI2,90000.0
CI1121X,CI2056X,90000.0
CI1121X,CI206X,90000.0
CI1121X,CI2124X,90000.0
CI1121X,CI2150X,90000.0
CI1121X,CI226X,90000.0
CI1121X,CI2274X,90000.0
CI1121X,CI227X,90000.0
CI1121X,CI2313X,90000.0
CI1121X,CI248X,90000.0
CI1121X,CI266X,90000.0
CI1121X,CI2879X,90000.0
CI1121X,CI2920X,90000.0
CI1121X,CI2994X,90000.0
CI1121X,CI3067X,90000.0
CI1121X,CI3105X,90000.0
CI1121X,CI3126X,90000.0
CI1121X,CI3171X,90000.0
CI1121X,CI3238X,90000.0
CI1121X,CI3330X,90000.0
CI1121X,CI333X,7200.0
CI1121X,CI3367X,90000.0
CI1121X,CI3386X,90000.0
CI1121X,CI3406X,90000.0
